appid,n_owners,average_forever,median_forever,r_price,discount,Achievements,Single.player,Family.Sharing,Steam.Achievements,Full.controller.support,Steam.Trading.Cards,In.App.Purchases,Multi.player,Co.op,Online.Co.op,PvP,Shared.Split.Screen.PvP,Shared.Split.Screen.Co.op,Shared.Split.Screen,Remote.Play.Together,Tracked.Controller.Support,VR.Only,Partial.Controller.Support,LAN.PvP,Steam.Cloud,Steam.Leaderboards,LAN.Co.op,Remote.Play.on.Tablet,VR.Supported,Valve.Anti.Cheat.enabled,Stats,Online.PvP,MMO,Cross.Platform.Multiplayer,Captions.available,Commentary.available,Steam.Workshop,Remote.Play.on.TV,Includes.level.editor,Remote.Play.on.Phone,VR.Support,Steam.Turn.Notifications,Includes.Source.SDK,HDR.available,Steam.Timeline,Mods,SteamVR.Collectibles,Mods..require.HL2.,Adventure,Casual,Indie,RPG,Free.To.Play,Action,Strategy,Early.Access,Simulation,Racing,Sports,Massively.Multiplayer,Education,Game.Development,Violent,Utilities,Audio.Production,Gore,Design...Illustration,Video.Production,Sexual.Content,Nudity,Photo.Editing,Web.Publishing,Animation...Modeling,Software.Training,Accounting,Movie,Documentary,Episodic,Short,Tutorial,X360.Video,Language_N,Platform_N,owners
1033700,25125,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
862570,50000,173,215,0.49000001,51,32,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4
776550,7738,131,143,0.99000001,0,55,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
893960,1272,0,0,0.99000001,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
453290,364,78,95,4.9899998,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
1540780,14,0,0,4.9899998,0,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
429470,230547,223,242,0.0,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
750500,24,0,0,9.9899998,0,27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
1484960,40803,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4
631120,6,0,0,14.99,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
